,,,,,,,바질패스토파스타/비건캐슈코코넛카레," ₩	12,000 ",,,,,,,
,,,,,,,,,,,,,,,
5,카페아름,044-862-8650,세종 대평4길 17 105호,11:00 ~ 21:00,없음,20:30,아메리카노," ₩	3,500 ",6,0,0,0,0,x,수제 미니붕어빵을 판매하시는 미니붕어빵에 진심인 사장님이 운영하시는 카페
,,,,,,,더치아메리카노," ₩	3,500 ",야외 2,,,,,,
,,,,,,,돌체라떼," ₩	4,500 ",,,,,,,
,,,,,,,미니붕어빵,3500~,,,,,,,
,,,,,,,달고나라떼," ₩	4,500 ",,,,,,,
,,,,,,,달고나라떼커피," ₩	5,000 ",,,,,,,
,,,,,,,수제달고나," ₩	2,000 ",,,,,,,
,,,,,,,,,,,,,,,
6,바잉그레이트커피,,"세종 대평로 75 해비치빌딩 1층 116,117호",11:00 ~ 21:00,일,20:30,아메리카노," ₩	4,000 ",8,0,0,x,0,x,하얀 인테리어에 구석구석 포인트가 이쁜 테린느가 맛있는 카페
,,,,,,,테린느,,,,,,,,
,,,,,,,치즈 / 초코 / 말차,5000 / 5000 / 6000,,,,,,,
,,,,,,,크림코코넛라떼," ₩	5,800 ",,,,,,,
,,,,,,,레몬진저소다," ₩	5,800 ",,,,,,,
,,,,,,,유기농녹차라떼," ₩	5,800 ",,,,,,,
,,,,,,,,,,,,,,,
7,카페메리,010-7570-7971,세종 대평1길 27 상가 108호,09:00 ~ 18:00,일,17:30,아메리카노," ₩	3,500 ",3,0,0,x,0,x,아파트 단지 안에있는 포근하고 커피가 맛있는 대화하기 좋은카페
,,,,,,,바닐라라떼," ₩	4,500 ",야외 2,,,,,,
,,,,,,,티,,,,,,,,
,,,,,,,MARY / RUBY," ₩	5,000 ",,,,,,,
,,,,,,,스콘,2500~,,,,,,,
,,,,,,,마들렌,2300~,,,,,,,
,,,,,,,,,,,,,,,
8,커피나후,0507-1317-3925,세종 한누리대로 2236 해들마을6단지 상가 B동132호,10:00 ~ 19:00,일,18:30,핸드드립 아메리카노," ₩	3,800 ",3,0,0,x,0,x,남녀노소 누구나 맛있는 커피를 즐길 수 있는 커피에 진심인 사장님이 운영하는 카페
,,,,,,,더치바닐라라떼," ₩	4,500 ",,,,,,,
,,,,,,,카페라떼," ₩	3,800 ",,,,,,,
,,,,,,,스콘," ₩	3,000 ",,,,,,,
,,,,,,,수제치즈케익," ₩	4,000 ",,,,,,,
,,,,,,,크럼블," ₩	4,300 ",,,,,,,
,,,,,,,,,,,,,,,
9,보람커피,0507-1330-5598,세종 대평1길 38 3단지 상가 103호 ,10:00 ~ 03:00,"일,월",,아메리카노," ₩	3,000 ",2,0,0,0,0,x,작지만 아기자기한 카페. 배달을 전문으로 하고있다.
,,,,11:00 ~ 03:00,,,카페라떼," ₩	4,800 ",,,,,,,
,,,,,,,수제청에이드," ₩	5,000 ",,,,,,,
,,,,,,,리얼꾸덕브라우니," ₩	4,500 ",,,,,,,
,,,,,,,오리지널수제핫도그," ₩	3,300 ",,,,,,,
,,,,,,,,,,,,,,,
10,카페봄,0507-1352-7851,세종 한누리대로 2264 1층 118호,09:00 ~ 18:00,일,17:30,아메리카노," ₩	3,000 ",5,0,0,x,0,x,단순 커피매장이 아닌 타로점과 결혼상담도 받을 수 있는 소소한 행복을 느낄 수 있는 카페
,,,,09:00 ~ 17:00,,16:30,코코넛라떼," ₩	4,500 ",야외 2,,,,,,
,,,,,,,흑임자인절미크림라떼," ₩	6,000 ",,,,,,,
,,,,,,,에그와플,3500~,,,,,,,
,,,,,,,,,,,,,,,
11,컴온플레이스,0507-1478-1236,세종 한누리대로 2270,10:30 ~ 21:00,"토,일",20:30,아메리카노," ₩	2,800 ",8,0,0,x,0,x,맛있는 커피를 즐길 수 있는 아늑한 분위기의 카페
,,,,,,,슈크림라떼," ₩	4,500 ",,,,,,,
,,,,,,,꿀밤라떼," ₩	4,500 ",,,,,,,
,,,,,,,,,,,,,,,
12,달렛,0507-1366-1149,세종 한누리대로 2264 시티오브드림 1층 118호,,,,,,,,,,,,
